species_name,common_name,status
Dasyurus maculatus,Tiger Quoll,Vulnerable
Phascolarctos cinereus,Koala,Vulnerable
Petauroides volans,Southern Greater Glider,Endangered
Pseudocheirus peregrinus,Common Ringtail Possum,Near Threatened
Petaurus australis,Yellow-bellied Glider,Vulnerable
Vombatus ursinus,Common Wombat,Protected
Macropus giganteus,Eastern Grey Kangaroo,Protected
Wallabia bicolor,Swamp Wallaby,Protected
Trichosurus vulpecula,Common Brushtail Possum,Protected
